requests_per_min,unique_ips,failed_logins,payload_size_bytes,token_reuse_count,endpoint_variety,hour_of_day,label
4,1,1,127,0,5,8,0
13,2,0,303,1,4,15,0
11,2,1,490,0,5,15,0
5,1,1,409,1,4,19,0
7,2,2,524,0,2,11,0
7,1,2,712,0,5,16,0
9,2,0,351,1,3,16,0
15,2,1,206,0,1,22,0
2,2,2,296,0,4,11,0
5,2,2,499,0,2,19,0
8,2,2,572,1,5,16,0
15,2,2,178,1,2,18,0
5,1,0,533,1,3,8,0
3,1,1,301,0,4,8,0
5,2,0,678,0,3,10,0
9,1,2,367,1,2,22,0
7,2,1,384,1,4,16,0
11,2,2,503,0,1,16,0
3,2,0,565,0,3,11,0
9,1,1,274,0,4,15,0
14,2,1,505,1,4,17,0
5,2,2,757,0,2,20,0
10,1,2,769,1,1,14,0
1,2,2,441,1,1,18,0
12,1,2,195,0,4,13,0
10,2,2,443,0,3,22,0
14,2,2,589,1,2,20,0
14,2,1,567,1,1,13,0
9,2,2,286,1,4,9,0
9,2,2,509,1,1,10,0
2,2,2,539,1,3,20,0
7,2,1,781,1,2,15,0
4,1,2,491,1,5,22,0
2,2,2,137,0,5,9,0
13,2,1,540,0,1,21,0
6,1,0,324,0,3,11,0
2,2,1,320,0,3,16,0
14,1,0,339,1,1,18,0
12,2,1,283,1,2,21,0
14,2,2,221,1,4,22,0
15,2,0,463,1,2,19,0
12,1,0,147,0,3,15,0
3,1,1,644,0,5,12,0
7,1,2,744,1,3,19,0
4,2,2,741,0,3,8,0
12,1,2,170,0,3,12,0
1,2,0,340,1,5,13,0
9,2,1,301,0,5,16,0
13,1,0,157,1,1,14,0
11,1,2,611,0,2,21,0
12,1,0,152,1,3,21,0
15,2,1,575,1,3,11,0
10,2,0,584,1,3,14,0
12,1,2,636,0,5,20,0
2,1,0,717,0,1,11,0
7,1,2,332,0,5,18,0
14,2,1,646,1,4,16,0
15,2,2,211,1,1,15,0
8,1,1,560,0,1,12,0
9,1,0,780,1,4,18,0
6,1,2,178,0,1,22,0
8,1,2,290,1,3,16,0
10,1,0,561,0,5,19,0
3,1,1,507,1,2,22,0
6,1,2,206,0,1,17,0
5,1,0,466,0,2,21,0
13,2,2,222,1,2,15,0
4,2,1,658,0,4,21,0
5,1,0,445,1,3,10,0
1,2,0,497,1,2,18,0
7,1,0,599,0,2,21,0
14,2,1,378,1,3,18,0
5,1,1,300,1,4,16,0
8,1,0,792,0,2,17,0
7,2,0,546,0,1,9,0
10,1,1,784,1,2,16,0
12,2,2,464,0,3,12,0
8,2,2,185,0,1,17,0
5,2,0,284,1,4,15,0
14,1,1,646,1,4,21,0
5,2,1,544,0,1,19,0
13,2,0,119,0,1,11,0
4,1,1,587,1,5,21,0
2,2,1,692,1,1,19,0
3,1,2,265,1,5,9,0
1,2,0,508,0,5,18,0
1,2,1,511,0,1,12,0
5,2,1,239,0,4,21,0
8,1,0,265,1,1,20,0
11,1,0,451,0,1,12,0
7,1,2,155,0,2,19,0
9,2,1,617,0,2,9,0
15,1,2,137,0,3,16,0
11,2,0,169,1,2,12,0
4,1,2,285,1,3,19,0
3,1,2,373,0,5,22,0
1,2,2,572,1,5,10,0
14,1,2,571,1,2,11,0
13,1,2,323,1,3,8,0
8,2,0,574,1,2,18,0
1,2,2,507,1,3,10,0
7,2,0,222,1,4,22,0
14,1,0,736,1,3,16,0
6,2,0,580,0,3,19,0
8,1,1,132,1,4,20,0
15,2,0,578,1,2,13,0
12,2,0,707,0,1,18,0
7,2,2,523,1,1,15,0
7,1,0,540,0,3,10,0
13,2,0,572,0,5,13,0
9,1,0,177,1,5,12,0
10,1,2,507,0,5,19,0
8,2,2,315,0,5,8,0
3,1,2,344,1,5,11,0
9,2,1,620,0,3,11,0
2,2,0,640,1,4,19,0
5,2,1,476,1,5,16,0
15,2,1,247,0,5,13,0
15,2,1,341,1,2,13,0
5,1,1,458,0,5,9,0
3,2,0,444,0,1,12,0
12,1,0,503,0,5,18,0
5,1,1,259,0,1,20,0
3,1,2,543,0,4,14,0
4,2,2,598,0,1,20,0
3,2,2,434,1,4,18,0
5,1,1,523,1,1,15,0
14,2,2,357,0,4,13,0
7,1,0,220,0,5,22,0
5,1,2,690,0,5,16,0
2,1,1,677,1,4,9,0
3,2,2,644,0,2,16,0
13,1,2,594,0,1,15,0
14,2,1,597,0,5,8,0
3,1,2,289,1,1,8,0
3,2,0,290,0,4,19,0
15,1,0,318,0,3,17,0
7,2,1,477,1,5,21,0
4,1,1,616,1,5,19,0
10,1,2,333,0,4,20,0
9,1,1,412,1,3,15,0
11,1,0,260,1,5,19,0
6,1,0,689,0,2,9,0
5,2,0,372,1,5,21,0
9,2,1,687,0,1,9,0
4,2,1,784,1,1,21,0
5,2,2,126,1,2,14,0
9,1,0,313,0,1,11,0
13,1,1,413,1,1,13,0
9,2,2,562,0,1,16,0
1,2,1,148,0,4,10,0
6,1,1,341,1,2,17,0
2,1,1,507,1,3,9,0
4,1,0,139,0,4,20,0
8,2,0,553,0,5,10,0
14,1,1,418,1,4,20,0
4,1,2,475,1,3,20,0
15,2,0,644,0,2,8,0
3,2,2,263,0,5,11,0
3,1,1,704,0,2,11,0
11,1,1,357,0,3,12,0
7,2,0,253,1,1,10,0
11,2,1,651,0,5,9,0
6,2,1,757,0,3,22,0
10,2,0,632,0,3,16,0
3,1,1,534,0,3,21,0
9,1,2,628,0,1,11,0
9,1,0,355,0,5,21,0
12,1,2,723,0,5,21,0
3,2,1,346,0,4,13,0
6,1,1,787,1,1,10,0
8,2,1,473,0,5,22,0
1,2,2,554,0,4,22,0
1,1,2,472,0,2,11,0
9,1,1,278,0,3,10,0
2,2,2,798,0,1,18,0
1,2,0,150,1,1,12,0
3,1,1,348,1,3,12,0
2,2,2,548,1,4,11,0
13,1,1,661,1,4,8,0
13,1,2,487,1,3,12,0
5,1,2,659,0,1,9,0
13,1,2,571,0,4,22,0
14,2,0,399,1,3,18,0
12,1,1,367,0,1,21,0
2,2,1,545,0,3,8,0
9,1,2,211,1,5,22,0
5,1,0,247,0,4,11,0
13,2,1,253,1,4,14,0
8,1,2,635,1,4,22,0
10,1,2,245,0,5,11,0
15,2,2,226,0,5,16,0
1,2,0,442,1,2,9,0
9,2,2,576,0,3,13,0
15,2,1,220,0,3,18,0
13,1,0,287,1,1,18,0
10,1,1,754,1,3,21,0
9,2,2,490,1,2,9,0
7,2,0,397,1,1,19,0
6,1,0,517,1,1,19,0
5,1,2,436,1,3,9,0
9,2,2,700,1,2,8,0
8,1,0,227,1,2,11,0
4,1,0,318,1,1,12,0
8,2,2,689,0,5,9,0
12,1,0,734,1,1,12,0
8,2,2,373,1,4,19,0
9,1,2,698,1,2,18,0
3,2,0,777,1,3,10,0
8,1,0,351,1,1,20,0
2,2,2,289,1,3,13,0
6,1,0,501,1,5,11,0
8,1,0,648,0,1,20,0
15,2,2,379,1,3,22,0
10,1,1,310,1,2,20,0
4,2,0,613,0,2,20,0
9,1,1,170,0,3,21,0
12,2,1,284,0,1,16,0
2,2,2,606,1,1,10,0
12,2,1,636,1,3,12,0
6,2,2,678,1,1,11,0
7,1,2,765,1,1,9,0
15,1,1,490,0,5,12,0
10,2,2,669,0,4,16,0
13,2,0,378,1,1,10,0
5,1,0,676,1,5,9,0
1,2,1,787,1,1,18,0
9,2,1,539,1,3,21,0
15,2,1,676,1,5,12,0
12,1,0,115,0,2,13,0
13,2,0,255,0,4,12,0
2,1,2,519,1,2,20,0
10,2,0,456,0,4,19,0
1,1,1,163,0,5,9,0
4,1,1,225,0,4,17,0
11,2,2,396,0,2,16,0
9,1,0,799,0,3,13,0
2,1,2,492,1,5,14,0
6,1,1,382,1,5,10,0
2,2,2,364,1,4,12,0
2,2,2,125,1,5,18,0
6,1,1,198,1,2,19,0
8,2,2,199,0,4,9,0
14,2,0,798,1,2,21,0
2,2,0,101,0,2,19,0
13,2,2,347,0,3,11,0
12,2,0,324,1,2,21,0
12,1,1,442,1,3,15,0
6,1,2,799,1,5,10,0
4,1,0,536,0,4,16,0
8,2,2,114,1,2,12,0
10,1,2,677,1,5,22,0
9,2,1,447,1,2,15,0
2,1,0,100,0,3,15,0
14,1,0,537,0,2,15,0
7,2,1,508,0,1,22,0
8,1,2,292,0,5,9,0
11,2,2,430,1,5,8,0
10,1,2,574,1,1,13,0
9,2,1,486,1,5,16,0
7,2,0,707,1,1,10,0
14,1,0,179,1,1,20,0
6,1,1,680,1,5,10,0
14,2,0,162,0,3,11,0
5,1,1,227,0,1,14,0
1,2,2,307,1,5,10,0
14,1,1,457,0,2,21,0
13,2,0,138,1,2,13,0
7,2,1,661,0,3,21,0
1,2,2,492,1,2,19,0
1,1,0,667,0,1,17,0
12,2,2,353,1,2,12,0
9,2,0,772,0,2,19,0
15,2,0,529,0,4,17,0
10,1,0,707,1,4,21,0
14,1,0,328,0,5,14,0
13,1,2,771,1,2,10,0
13,1,0,319,0,3,10,0
1,2,1,695,0,1,15,0
10,2,1,547,1,4,12,0
12,2,0,320,0,4,13,0
12,2,2,496,1,4,16,0
13,2,1,622,0,2,13,0
12,2,2,729,1,5,17,0
6,2,2,540,0,3,10,0
8,2,1,394,0,4,13,0
13,1,2,167,1,5,22,0
8,2,1,185,0,4,21,0
2,2,0,144,0,1,20,0
2,1,1,288,1,3,12,0
9,1,1,435,1,1,15,0
4,1,2,234,0,4,13,0
1,1,2,389,0,2,13,0
15,2,1,416,1,4,14,0
6,2,1,223,1,2,16,0
4,1,1,406,0,4,11,0
4,2,2,604,0,1,15,0
7,1,0,204,1,5,9,0
3,2,1,515,1,1,11,0
11,2,1,292,1,3,8,0
4,1,1,121,1,5,20,0
6,2,0,434,1,3,8,0
2,2,1,340,1,3,19,0
13,2,1,199,1,2,17,0
10,2,2,635,1,2,19,0
1,2,2,201,0,1,8,0
5,1,0,709,1,4,15,0
12,2,0,320,1,3,18,0
12,2,1,299,1,4,21,0
9,2,0,781,0,1,13,0
14,2,2,206,1,3,10,0
15,2,2,377,1,5,18,0
6,2,0,422,0,3,16,0
10,1,1,355,0,5,10,0
5,1,0,586,0,3,22,0
8,2,0,486,1,1,20,0
8,2,2,183,1,3,16,0
15,2,1,563,0,4,12,0
11,2,1,749,0,4,19,0
5,1,1,129,1,1,17,0
13,2,1,117,0,4,17,0
6,1,2,700,0,1,12,0
11,2,0,577,1,2,8,0
6,2,0,328,1,3,17,0
14,2,1,522,0,5,13,0
7,1,1,515,0,5,21,0
1,1,2,546,0,4,16,0
13,1,1,328,0,1,12,0
8,1,2,600,0,4,12,0
27,23,1,203,43,2,3,1
31,1,0,150,2,41,23,1
508,3,5,173,2,1,3,1
25,5,43,148,2,2,15,1
34,2,1,56,2,26,16,1
89,1,0,135,2,28,11,1
9,14,0,391,32,1,18,1
37,10,49,231,1,1,20,1
5,14,3,145,24,2,20,1
11,25,1,203,29,2,10,1
93,3,1,79,2,52,5,1
29,9,3,212,28,2,23,1
39,10,15,259,5,1,12,1
55,5,39,270,0,1,0,1
11,8,0,338,50,3,10,1
362,2,4,197,1,1,1,1
279,1,2,117,0,2,6,1
75,6,26,176,0,1,20,1
27,10,2,119,33,1,5,1
495,2,3,198,0,1,19,1
437,1,2,138,2,2,13,1
512,1,5,184,1,2,3,1
68,3,1,109,1,79,22,1
440,2,1,176,0,2,12,1
71,1,1,61,2,22,13,1
448,3,3,190,0,1,19,1
276,1,4,142,1,1,8,1
22,9,3,360,40,1,6,1
410,1,2,136,0,2,1,1
82,3,1,137,1,69,20,1
533,2,1,130,1,1,3,1
44,3,0,86,2,65,3,1
53,1,1,131,0,21,5,1
54,3,0,109,2,28,16,1
336,2,4,132,1,2,8,1
584,3,1,135,2,2,15,1
22,17,0,202,23,3,17,1
22,12,3,188,16,1,1,1
23,18,1,141,24,2,11,1
98,3,0,126,1,22,18,1
401,2,2,166,1,2,20,1
362,2,2,78,0,1,13,1
47,6,41,246,2,1,14,1
69,10,41,118,3,1,7,1
460,3,5,62,1,1,0,1
22,22,3,359,35,1,1,1
426,2,2,134,2,1,2,1
75,1,1,61,0,70,5,1
353,2,0,67,0,1,8,1
29,3,24,160,3,1,15,1
30,9,35,244,5,2,14,1
19,10,0,399,43,1,9,1
58,9,17,209,0,2,7,1
496,3,3,90,1,2,4,1
357,1,3,136,0,2,14,1
416,1,4,151,2,1,22,1
34,10,42,225,3,1,4,1
332,3,3,163,0,1,18,1
20,7,27,148,4,2,1,1
23,9,46,250,0,2,8,1
72,5,19,229,3,1,7,1
71,3,0,150,1,24,10,1
77,9,26,103,3,2,17,1
467,2,1,76,1,2,23,1
19,22,2,142,43,2,16,1
354,1,0,53,2,1,15,1
67,7,31,132,2,1,16,1
33,3,0,126,0,50,8,1
563,1,2,77,2,2,20,1
64,3,0,114,2,49,3,1
478,1,4,55,0,2,18,1
42,3,31,143,2,2,8,1
297,3,3,90,1,1,23,1
40,2,1,149,1,52,0,1
88,2,1,113,0,59,22,1
11,23,1,202,28,2,3,1
12,21,3,288,24,3,9,1
82,2,0,70,2,30,23,1
11,17,3,319,38,3,23,1
44,5,25,234,2,2,6,1
70,8,22,152,0,1,10,1
16,21,1,299,50,2,10,1
34,3,19,194,0,2,14,1
497,3,0,94,1,2,4,1
67,1,0,90,2,60,18,1
588,3,1,176,0,1,12,1
17,24,1,271,22,3,19,1
35,1,1,79,0,61,10,1
46,8,21,151,5,1,10,1
284,1,1,150,2,2,6,1
351,3,2,188,2,1,9,1
30,22,3,321,22,1,11,1
11,24,1,393,46,1,7,1
267,2,1,104,1,1,20,1
41,4,37,227,4,1,6,1
9,20,1,311,37,2,21,1
30,1,1,141,2,56,23,1
301,3,2,140,2,2,12,1
54,8,40,109,2,2,1,1
11,14,0,178,27,2,16,1
